iter	Passed	Remaining
572	1345	1002
573	1347	1000
574	1349	997
575	1352	995
576	1354	992
577	1356	990
578	1358	987
579	1360	985
580	1362	982
581	1364	980
582	1366	977
583	1369	975
584	1371	972
585	1373	970
586	1375	967
587	1377	964
588	1379	962
589	1381	959
590	1383	957
591	1385	954
592	1387	952
593	1389	949
594	1391	947
595	1393	944
596	1396	942
597	1398	939
598	1400	937
599	1402	934
600	1404	932
601	1406	929
602	1408	927
603	1410	924
604	1412	922
605	1414	919
606	1416	917
607	1418	914
608	1420	911
609	1422	909
610	1424	906
611	1426	904
612	1428	901
613	1430	899
614	1432	897
615	1434	894
616	1436	891
617	1438	889
618	1441	886
619	1442	884
620	1444	881
621	1446	879
622	1448	876
623	1450	874
624	1452	871
625	1454	869
626	1456	866
627	1458	864
628	1460	861
629	1462	858
630	1464	856
631	1466	853
632	1468	851
633	1470	848
634	1472	846
635	1474	843
636	1476	841
637	1478	838
638	1480	836
639	1482	833
640	1484	831
641	1486	828
642	1488	826
643	1490	823
644	1492	821
645	1494	818
646	1496	816
647	1498	813
648	1500	811
649	1502	808
650	1504	806
651	1506	803
652	1508	801
653	1510	798
654	1512	796
655	1514	794
656	1516	791
657	1518	789
658	1520	786
659	1522	784
660	1524	781
661	1526	779
662	1528	777
663	1531	774
664	1533	772
665	1535	769
666	1537	767
667	1539	765
668	1541	762
669	1543	760
670	1545	757
671	1547	755
672	1549	752
673	1551	750
674	1553	747
675	1555	745
676	1557	742
677	1559	740
678	1561	738
679	1563	735
680	1565	733
681	1567	730
682	1569	728
683	1571	726
684	1573	723
685	1575	721
686	1577	718
687	1579	716
688	1581	714
689	1583	711
690	1585	709
691	1587	706
692	1590	704
693	1592	702
694	1594	699
695	1596	697
696	1598	694
697	1600	692
698	1602	689
699	1604	687
700	1606	685
701	1608	682
702	1610	680
703	1612	678
704	1614	675
705	1616	673
706	1618	670
707	1620	668
708	1622	665
709	1624	663
710	1626	661
711	1628	658
712	1630	656
713	1632	653
714	1634	651
715	1636	649
716	1638	646
717	1640	644
718	1642	641
719	1644	639
720	1646	637
721	1648	634
722	1650	632
723	1652	629
724	1654	627
725	1656	625
726	1658	622
727	1660	620
728	1662	618
729	1664	615
730	1666	613
731	1668	611
732	1671	608
733	1673	606
734	1675	604
735	1677	601
736	1679	599
737	1682	597
738	1684	594
739	1686	592
740	1688	590
741	1690	587
742	1692	585
743	1694	583
744	1696	580
745	1698	578
746	1700	575
747	1702	573
748	1704	571
749	1706	568
750	1708	566
751	1710	564
752	1712	561
753	1714	559
754	1716	557
755	1718	554
756	1720	552
757	1722	550
758	1725	547
759	1726	545
760	1729	543
761	1730	540
762	1732	538
763	1734	535
764	1736	533
765	1739	531
766	1741	528
767	1743	526
768	1745	524
769	1747	521
770	1749	519
771	1751	517
772	1753	514
773	1755	512
774	1757	510
775	1759	507
776	1761	505
777	1763	503
778	1765	500
779	1767	498
780	1770	496
781	1772	494
782	1774	491
783	1776	489
784	1778	487
785	1780	484
786	1782	482
787	1784	480
788	1786	477
789	1789	475
790	1791	473
791	1793	471
792	1795	468
793	1797	466
794	1800	464
795	1802	461
796	1804	459
797	1806	457
798	1808	454
799	1810	452
800	1812	450
801	1814	447
802	1816	445
803	1818	443
804	1820	440
805	1822	438
806	1824	436
807	1826	433
808	1828	431
809	1830	429
810	1832	427
811	1834	424
812	1836	422
813	1838	420
814	1840	417
815	1842	415
816	1844	413
817	1846	410
818	1848	408
819	1850	406
820	1852	403
821	1854	401
822	1856	399
823	1858	396
824	1860	394
825	1862	392
826	1864	390
827	1866	387
828	1868	385
829	1870	383
830	1872	380
831	1874	378
832	1876	376
833	1878	373
834	1880	371
835	1882	369
836	1884	367
837	1886	364
838	1888	362
839	1890	360
840	1892	357
841	1894	355
842	1896	353
843	1898	350
844	1900	348
845	1902	346
846	1904	344
847	1906	341
848	1909	339
849	1911	337
850	1913	334
851	1915	332
852	1917	330
853	1919	328
854	1921	325
855	1923	323
856	1925	321
857	1927	319
858	1930	316
859	1932	314
860	1934	312
861	1936	309
862	1938	307
863	1940	305
864	1942	303
865	1944	300
866	1946	298
867	1948	296
868	1950	294
869	1952	291
870	1954	289
871	1956	287
872	1958	284
873	1960	282
874	1963	280
875	1965	278
876	1967	275
877	1969	273
878	1971	271
879	1973	269
880	1975	266
881	1977	264
882	1979	262
883	1982	260
884	1984	257
885	1986	255
886	1988	253
887	1990	251
888	1992	248
889	1994	246
890	1996	244
891	1998	242
892	2000	239
893	2002	237
894	2004	235
895	2006	232
896	2008	230
897	2011	228
898	2012	226
899	2014	223
900	2016	221
901	2018	219
902	2020	217
903	2022	214
904	2024	212
905	2026	210
906	2028	208
907	2030	205
908	2032	203
909	2034	201
910	2036	198
911	2038	196
912	2040	194
913	2042	192
914	2044	189
915	2046	187
916	2048	185
917	2050	183
918	2052	180
919	2054	178
920	2056	176
921	2058	174
922	2060	171
923	2062	169
924	2064	167
925	2066	165
926	2069	162
927	2071	160
928	2073	158
929	2075	156
930	2077	153
931	2079	151
932	2081	149
933	2083	147
934	2085	144
935	2087	142
936	2089	140
937	2091	138
938	2093	136
939	2095	133
940	2097	131
941	2099	129
942	2101	127
943	2103	124
944	2105	122
945	2107	120
946	2109	118
947	2111	115
948	2113	113
949	2115	111
950	2117	109
951	2119	106
952	2122	104
953	2124	102
954	2126	100
955	2128	97
956	2130	95
957	2132	93
958	2134	91
959	2136	89
960	2138	86
961	2140	84
962	2142	82
963	2144	80
964	2146	77
965	2148	75
966	2150	73
967	2152	71
968	2154	68
969	2156	66
970	2158	64
971	2160	62
972	2162	60
973	2164	57
974	2166	55
975	2168	53
976	2171	51
977	2173	48
978	2175	46
979	2177	44
980	2179	42
981	2181	39
982	2183	37
983	2185	35
984	2188	33
985	2190	31
986	2192	28
987	2194	26
988	2198	24
989	2201	22
990	2204	20
991	2207	17
992	2210	15
993	2213	13
994	2215	11
995	2218	8
996	2221	6
997	2223	4
998	2225	2
999	2227	0
