iter	RMSE
190	0.456394918
191	0.4558896892
192	0.4555195986
193	0.4547812643
194	0.4543572477
195	0.4539622157
196	0.4535960931
197	0.4531656949
198	0.4528404145
199	0.4524982063
200	0.4518369292
201	0.4515291368
202	0.4513061376
203	0.4505645262
204	0.4502370327
205	0.4498612493
206	0.4494071345
207	0.4485961956
208	0.448290142
209	0.447871344
210	0.4475035036
211	0.4469107141
212	0.4466393504
213	0.4462839845
214	0.4459612208
215	0.4457031381
216	0.4453603015
217	0.4451646502
218	0.4447717303
219	0.4444090616
220	0.4441804321
221	0.4438062259
222	0.4434545669
223	0.4429409833
224	0.4426054398
225	0.4423084689
226	0.4421241145
227	0.441754287
228	0.4413682308
229	0.4407821043
230	0.4404467577
231	0.4401786133
232	0.4397006858
233	0.4394326571
234	0.4391363034
235	0.4386363456
236	0.4384153513
237	0.4380006224
238	0.4375007874
239	0.437118776
240	0.4369322905
241	0.4366930295
242	0.4363943939
243	0.4361240194
244	0.435794619
245	0.4355564272
246	0.4350719887
247	0.4348347866
248	0.4346183412
249	0.4343976078
250	0.4340669782
251	0.4335675697
252	0.4332346539
253	0.4329400766
254	0.4327528512
255	0.4321977551
256	0.4319859806
257	0.431758124
258	0.4314683073
259	0.4311434292
260	0.4307621993
261	0.4303393978
262	0.4297884702
263	0.4294914465
264	0.4291798761
265	0.4288490782
266	0.4284878267
267	0.4282067905
268	0.4278981068
269	0.4276132609
270	0.4271790903
271	0.4268828293
272	0.4265021995
273	0.42615212
274	0.4258873476
275	0.4256121399
276	0.4253786233
277	0.4251273472
278	0.4248759549
279	0.4246634097
280	0.4243375118
281	0.4241056044
282	0.4238203689
283	0.4235386053
284	0.4233829799
285	0.4232059874
286	0.4229911422
287	0.4228624324
288	0.422383863
289	0.4220193949
290	0.4215554066
291	0.4213951993
292	0.4209800821
293	0.4206051505
294	0.4202214684
295	0.4198766708
296	0.4195827893
297	0.4192445037
298	0.4189452286
299	0.4186988517
300	0.418545492
301	0.4182110272
302	0.4179969351
303	0.4177189277
304	0.4173710154
305	0.4169596774
306	0.4167012911
307	0.4163447628
308	0.416063627
309	0.4158441541
310	0.4155264421
311	0.415382847
312	0.4150674761
313	0.4147628692
314	0.4145599333
315	0.4143549025
316	0.4141341057
317	0.4139861957
318	0.4138382976
319	0.4135516675
320	0.4132087607
321	0.4129924852
322	0.4125739031
323	0.4124261559
324	0.4121580175
325	0.4119978553
326	0.4116639629
327	0.4114655016
328	0.4112631899
329	0.4110145636
330	0.4107228983
331	0.4105980163
332	0.4103692452
333	0.4101779732
334	0.4099178506
335	0.409667917
336	0.4095541892
337	0.4092555032
338	0.4089295452
339	0.4087042284
340	0.4085137017
341	0.4083523458
342	0.4082751475
343	0.4080331457
344	0.4079088415
345	0.4076088915
346	0.4073413044
347	0.4071873743
348	0.4070301128
349	0.406883317
350	0.4067274906
351	0.4064970778
352	0.406308162
353	0.4060971162
354	0.4059421657
355	0.4056929195
356	0.4054960105
357	0.4052323476
358	0.404961193
359	0.4047434632
360	0.4044696378
361	0.4042400043
362	0.4039744878
363	0.4037309952
364	0.4034490858
365	0.4031846964
366	0.4028496796
367	0.4025738465
368	0.4024374994
369	0.4022028264
370	0.4018371173
371	0.4015597979
372	0.4012781972
373	0.4011099034
374	0.4007477353
375	0.4004952292
376	0.4003167453
377	0.4002252735
378	0.3999268154
379	0.3997109724
380	0.3995076446
381	0.3992496625
382	0.3990012846
383	0.3987594176
384	0.3985529994
385	0.3983532205
386	0.3981335431
387	0.3980056634
388	0.3977689835
389	0.3975518427
390	0.3972790334
391	0.3971308728
392	0.3969773747
393	0.3968276893
394	0.3964716876
395	0.3963223909
396	0.3961004312
397	0.3958756633
398	0.3956448612
399	0.3954389286
400	0.3953467225
401	0.3952595889
402	0.3951206039
403	0.3948913084
404	0.3946855687
405	0.3945434666
406	0.3942480406
407	0.394084369
408	0.3936599631
409	0.3934266429
410	0.3932691276
411	0.3929865538
412	0.3927634028
413	0.3925345697
414	0.3922883959
415	0.3919475172
416	0.3917601044
417	0.391488621
418	0.3914174603
419	0.3911555572
420	0.3909321538
421	0.3907067514
422	0.3905059016
423	0.3903453551
424	0.3901793654
425	0.3898726332
426	0.3896611064
427	0.3895300244
428	0.3893716204
429	0.3891040765
430	0.3889038026
431	0.3886609272
432	0.3884260045
433	0.3882333553
434	0.3880473014
435	0.3877427461
436	0.3875906765
437	0.3874559853
438	0.3872419471
439	0.387085768
440	0.3869510989
441	0.3867232009
442	0.3864974534
443	0.3863177921
444	0.3860137813
445	0.3858205756
446	0.3856840793
447	0.3855833868
448	0.3854120125
449	0.3851830215
450	0.3850502997
451	0.3848453862
452	0.3847076404
453	0.3844239941
454	0.3842192135
455	0.3840186497
456	0.3838454088
457	0.3836618797
458	0.3834501988
459	0.3833403312
460	0.3831261615
461	0.3829904611
462	0.3828714824
463	0.3826822105
464	0.3825229838
465	0.3823308387
466	0.3821398769
467	0.382000933
468	0.3818263425
469	0.3816455696
470	0.3815268665
471	0.3814441412
472	0.3812610064
473	0.3811222117
474	0.3809474261
475	0.3807546117
476	0.3806312946
477	0.3804200146
478	0.380121925
479	0.3799659235
480	0.3797449883
481	0.3796455499
482	0.3794734156
483	0.3793339844
484	0.3791256298
485	0.3790460382
486	0.378858989
487	0.3786744535
488	0.378561449
489	0.3784558625
490	0.3782980434
491	0.3781314378
492	0.3779522249
493	0.3778115665
494	0.377633136
495	0.377382125
496	0.3770762021
497	0.3769476448
498	0.3767910743
499	0.3766523777
500	0.3765261438
501	0.3763595154
502	0.3762456389
503	0.3760345713
504	0.3758945263
505	0.3757559637
506	0.3756765291
507	0.3755605417
508	0.3752952332
509	0.3749539971
510	0.374795772
511	0.3747160352
512	0.3746028218
513	0.3744848679
514	0.3743644736
515	0.3742019909
516	0.3740253747
517	0.3738402324
518	0.3737402001
519	0.3735760688
520	0.3734312565
521	0.3732947822
522	0.3730047487
523	0.3728671955
524	0.372633504
525	0.3725297185
526	0.3724192627
527	0.3721977155
528	0.3720964851
529	0.3719327675
530	0.3717840954
531	0.3716146405
532	0.3714561614
533	0.3713864428
534	0.3712717245
535	0.3710430054
536	0.3706864747
537	0.3704670065
538	0.370358062
539	0.3701755442
540	0.3700575012
541	0.3698495
542	0.369650768
543	0.3694467426
544	0.3692647226
545	0.3690744571
546	0.3688953535
547	0.3687198314
548	0.3685528431
549	0.3684126566
550	0.3681748537
551	0.3680022008
552	0.3678566666
553	0.3677262238
554	0.3676159235
555	0.3674649278
556	0.3672939608
557	0.3671012596
558	0.3669623277
559	0.366882197
560	0.3668035429
561	0.3666673931
562	0.3664375719
563	0.3662453907
564	0.3661176363
565	0.3659462805
566	0.3657894733
567	0.365689094
568	0.3655856825
569	0.365417276
570	0.3652898182
571	0.3650843566
572	0.3649896728
573	0.3648055739
574	0.3646960391
575	0.3645117721
576	0.3643351081
577	0.3641924701
578	0.3640210033
579	0.363823638
580	0.3636799174
581	0.3635475952
582	0.3634210395
583	0.3632286061
584	0.3630472503
585	0.3628488235
586	0.3626856648
587	0.3626177345
588	0.3625064003
589	0.3623251698
590	0.3622202567
591	0.3621286436
592	0.3620288665
593	0.3616935468
594	0.3615960396
595	0.3614977544
596	0.3613202604
597	0.3612775525
598	0.361107073
599	0.3609477503
600	0.3608309302
601	0.360749
602	0.3606281729
603	0.3604675704
604	0.3604104247
605	0.3602495745
606	0.3600284476
607	0.3599876235
608	0.3598353496
609	0.3596697623
610	0.3595671244
611	0.359436165
612	0.359281586
613	0.3590893427
614	0.35900508
615	0.3589228176
616	0.3587874268
617	0.3587265392
618	0.3585838497
619	0.3585056654
620	0.3584177486
621	0.3582848387
622	0.3581795252
623	0.3580343896
624	0.3578843455
625	0.3577401446
626	0.3576390334
627	0.3574689216
628	0.3573099924
629	0.3570546818
630	0.3568925909
631	0.3567657813
632	0.3565697145
633	0.3563947321
634	0.3562874779
635	0.3561683915
636	0.3560003983
637	0.3558494732
638	0.3557467028
639	0.3556070353
640	0.3554885276
641	0.3553432706
642	0.3551399001
643	0.3549918067
644	0.3548161518
645	0.354667116
646	0.3545347236
647	0.3544403516
648	0.3542714199
649	0.354193598
650	0.3540333134
651	0.3538758433
652	0.3537103489
653	0.353531692
654	0.3534317414
655	0.3533105942
656	0.3531722375
657	0.3530383589
658	0.3528923851
659	0.3526541136
660	0.3524879155
661	0.3523973232
662	0.352193154
663	0.3520620731
664	0.3518639056
665	0.3516990646
666	0.3515599
667	0.3514376107
668	0.3513357605
669	0.3512205011
670	0.351084659
671	0.3509291644
672	0.3508486034
673	0.3506558327
674	0.3505732438
675	0.3504168331
676	0.3503364468
677	0.3502514652
678	0.3501082692
679	0.3499441462
680	0.3498355985
681	0.34957738
682	0.3494963548
683	0.3492976963
684	0.3491656207
685	0.3490447168
686	0.3489378381
687	0.3488202369
688	0.3487732073
689	0.3486187043
690	0.3484848955
691	0.3483376534
692	0.3482128606
693	0.3480836247
694	0.3479553142
695	0.3478164436
696	0.3477293916
697	0.3474479443
698	0.3472868003
699	0.34718101
700	0.3470571695
701	0.3468738998
702	0.3467876731
703	0.3466470285
704	0.3465749483
705	0.3464740506
706	0.3463358984
707	0.3462344706
708	0.3461050068
709	0.3459972018
710	0.3458835633
711	0.3457598212
712	0.3457038932
713	0.3456299862
714	0.3454841261
715	0.3453646527
716	0.3452021168
717	0.3451077908
718	0.344919552
719	0.3448023906
720	0.3446977378
721	0.3445682499
722	0.3444194314
723	0.3443186155
724	0.344012009
725	0.3439041649
726	0.343808103
727	0.3436705354
728	0.3435234991
729	0.3434216648
730	0.3433263852
731	0.3431944962
732	0.3430980525
733	0.3429836069
734	0.3428244555
735	0.3427160838
736	0.3425642961
737	0.342462173
738	0.3423633339
739	0.3422252102
740	0.3421216712
741	0.3419998195
742	0.3418548689
743	0.3417721141
744	0.3416051287
745	0.3414920192
746	0.3412935265
747	0.3411495695
748	0.3409930205
749	0.3409216687
750	0.3408054625
751	0.3407111021
752	0.3406009617
753	0.3404928374
754	0.3403657555
755	0.3402621861
756	0.3401528345
757	0.3400310491
758	0.3399365176
759	0.3398124874
760	0.3396909356
761	0.3395732063
762	0.3394578304
763	0.3393922643
764	0.3392823232
765	0.3391906661
766	0.3390512512
767	0.3389395302
768	0.3388278357
769	0.3387446198
770	0.3386753949
771	0.3385213957
772	0.3383957862
773	0.3383013359
774	0.338122051
775	0.3380440136
776	0.3379605536
777	0.3378689826
778	0.3377088037
779	0.3375715512
780	0.3375030599
781	0.3374570418
782	0.3371994282
783	0.3370877405
784	0.3369821327
785	0.3368813767
786	0.3367882741
787	0.3366700348
788	0.3366152333
789	0.3365053493
790	0.336430545
791	0.3362828487
792	0.3361988107
793	0.3360858699
794	0.335989052
795	0.3359030837
796	0.3358243458
797	0.335703379
798	0.3356147002
799	0.335488243
800	0.3354076611
801	0.3352156262
802	0.3351060495
803	0.334981029
804	0.3348480219
805	0.3347543747
806	0.3346457664
807	0.3344463417
808	0.3343252534
809	0.334210624
810	0.334135527
811	0.334008347
812	0.3339361474
813	0.3338253678
814	0.3337093252
815	0.3336138511
816	0.3335218073
817	0.3333187903
818	0.3331876489
819	0.3330374135
820	0.332973784
821	0.3328935464
822	0.3328243036
823	0.3327408252
824	0.3326313355
825	0.332506655
826	0.3324233598
827	0.3322525681
828	0.3321057614
829	0.3320303534
830	0.331892829
831	0.3318147719
832	0.3317162658
833	0.331633038
834	0.3314777568
835	0.3313286822
836	0.3312291112
837	0.3311004665
838	0.3309669187
839	0.3308964059
840	0.3308042923
841	0.3307473749
842	0.3306335499
843	0.330525112
844	0.3304617696
845	0.3303247552
846	0.330234535
847	0.3300062126
848	0.3299161937
849	0.3298210433
850	0.3297099334
851	0.3296142907
852	0.3295054431
853	0.3293932193
854	0.3292981086
855	0.3292041894
856	0.3290936975
857	0.3289989874
858	0.3289197547
859	0.3288322308
860	0.3287613761
861	0.3286575614
862	0.3285839064
863	0.3284263699
864	0.3283132372
865	0.3282347368
866	0.3280916871
867	0.3280136958
868	0.3278955708
869	0.3277821319
870	0.3276505062
871	0.3275072512
872	0.3274436951
873	0.3273314343
874	0.3271890537
875	0.3270542605
876	0.3269962125
877	0.3269112528
878	0.3267483729
879	0.3266334425
880	0.3265196783
881	0.3263974414
882	0.32634316
883	0.3262446046
884	0.3261328401
885	0.3260277735
886	0.3258948391
887	0.3257356208
888	0.3256554256
889	0.3255519346
890	0.3254293753
891	0.3252978348
892	0.3251653906
893	0.3251062904
894	0.3249870191
895	0.324858431
896	0.3247462636
897	0.3246771075
898	0.3245524977
899	0.3244459212
900	0.3243512343
901	0.3242629405
902	0.3241972163
903	0.3240490444
904	0.323918625
905	0.3237936928
906	0.3236517708
907	0.3235168993
908	0.3234679924
909	0.3234247815
910	0.3233021051
911	0.3231945812
912	0.3230903327
913	0.3230133136
914	0.3229696988
915	0.3228487019
916	0.3227295041
917	0.3225900955
918	0.322492003
919	0.3224308629
920	0.3223319002
921	0.3222343828
922	0.3221817654
923	0.3220706211
924	0.3219842762
925	0.3219286795
926	0.3218621743
927	0.3216677564
928	0.3215828788
929	0.3214985767
930	0.3213718067
931	0.3212997302
932	0.3211982803
933	0.3210716535
934	0.3209340937
935	0.3208853202
936	0.3207823763
937	0.3206727368
938	0.3206008214
939	0.3204725096
940	0.3203965961
941	0.3202961514
942	0.3201864262
943	0.3200392393
944	0.3199341513
945	0.3198005146
946	0.3196876393
947	0.3195992055
948	0.3194911974
949	0.3193712751
950	0.3192983715
951	0.3191984573
952	0.3191099857
953	0.3189960464
954	0.3189197832
955	0.3188138413
956	0.3187211469
957	0.3186496156
958	0.3185685922
959	0.3185121842
960	0.3184117403
961	0.3183067988
962	0.3182089536
963	0.3181168663
964	0.317976668
965	0.3178476289
966	0.3177554726
967	0.3176338066
968	0.3175339809
969	0.3174226071
970	0.317343992
971	0.317246997
972	0.3171700543
973	0.3170380485
974	0.3169153172
975	0.3168104307
976	0.3167448887
977	0.3166150412
978	0.3164737922
979	0.3164026342
980	0.3162777799
981	0.316219453
982	0.3160942874
983	0.3160317431
984	0.3158929541
985	0.3158559735
986	0.3157374542
987	0.3156177706
988	0.315467502
989	0.315368272
990	0.3152860764
991	0.3151261998
992	0.3150704921
993	0.3149774124
994	0.3149116502
995	0.314821295
996	0.3146712826
997	0.3146374687
998	0.3145600881
999	0.3144879175
